Title,Album
22,Red 
All Too Well (10 Minute Version)  [From the Vault],Red 
All Too Well ,Red 
Babe  [From the Vault],Red 
Begin Again ,Red 
Better Man  [From the Vault],Red 
Come Back...Be Here ,Red 
Everything Has Changed ,Red 
Forever Winter  [From the Vault],Red 
Girl At Home ,Red 
Holy Ground ,Red 
I Almost Do ,Red 
I Bet You Think About Me  [From the Vault],Red 
I Knew You Were Trouble ,Red 
Message In A Bottle  [From The Vault],Red 
Nothing New  [From the Vault],Red 
Red ,Red 
Ronan ,Red 
Run  [From the Vault],Red 
Sad Beautiful Tragic ,Red 
Starlight ,Red 
State of Grace ,Red 
Stay Stay Stay ,Red 
The Last Time ,Red 
The Lucky One ,Red 
The Moment I Knew ,Red 
The Very First Night  [From the Vault],Red 
Treacherous ,Red 
We Are Never Ever Getting Back Together ,Red 
Afterglow,Lover
Cornelia Street,Lover
Cruel Summer,Lover
Daylight,Lover
Death by a Thousand Cuts,Lover
False God,Lover
I Forgot That You Existed,Lover
I Think He Knows,Lover
It's Nice to Have a Friend,Lover
London Boy,Lover
Lover,Lover
ME!,Lover
Miss Americana & The Heartbreak Prince,Lover
Paper Rings,Lover
Soon You'll Get Better,Lover
The Archer,Lover
The Man,Lover
You Need To Calm Down,Lover
All You Had to Do Was Stay,1989
Bad Blood,1989
Clean,1989
How You Get The Girl,1989
I Know Places,1989
I Wish You Would,1989
New Romantics,1989
Out Of The Woods,1989
Style,1989
Welcome to New York,1989
Wonderland,1989
You Are in Love,1989
Blank Space,1989
Shake It Off,1989
Anti-Hero,Midnights
Bejeweled,Midnights
Bigger Than The Whole Sky,Midnights
Dear Reader,Midnights
Glitch,Midnights
High Infidelity,Midnights
Karma,Midnights
Labyrinth,Midnights
Lavender Haze,Midnights
Maroon,Midnights
Mastermind,Midnights
Midnight Rain,Midnights
Paris,Midnights
Question...?,Midnights
Snow On the Beach,Midnights
Sweet Nothing,Midnights
The Great War,Midnights
Vigilante Shit,Midnights
"Would've, Could've, Should've",Midnights
"You're On Your Own, Kid",Midnights
A Perfectly Good Heart,Taylor Swift
A Place In This World,Taylor Swift
Invisible,Taylor Swift
Mary's Song (Oh My My My),Taylor Swift
Our Song,Taylor Swift
Should've Said No,Taylor Swift
Stay Beautiful,Taylor Swift
Teardrops on My Guitar (Pop Version),Taylor Swift
The Outside,Taylor Swift
Tim McGraw,Taylor Swift
Tied Together with a Smile,Taylor Swift
Cold as You,Taylor Swift
I'm Only Me When I'm With You,Taylor Swift
Beautiful Ghosts,Cats: Highlights From the Motion Picture Soundtrack
Macavity,Cats: Highlights From the Motion Picture Soundtrack
Breathe ,Fearless 
Bye Bye Baby  [From the Vault],Fearless 
Change ,Fearless 
Come In With The Rain ,Fearless 
Don't You  [From the Vault],Fearless 
Fearless ,Fearless 
Fifteen ,Fearless 
Forever & Always ,Fearless 
Hey Stephen ,Fearless 
Jump Then Fall ,Fearless 
Love Story ,Fearless 
Mr. Perfectly Fine  [From the Vault],Fearless 
Superstar ,Fearless 
Tell Me Why ,Fearless 
That's When  [From the Vault],Fearless 
The Best Day ,Fearless 
The Other Side of the Door ,Fearless 
The Way I Loved You ,Fearless 
Today Was a Fairytale ,Fearless 
Untouchable ,Fearless 
White Horse ,Fearless 
You All Over Me  [From the Vault],Fearless 
You Belong With Me ,Fearless 
You're Not Sorry ,Fearless 
We Were Happy  [From the Vault],Fearless 
Call It What You Want,reputation
Dancing with Our Hands Tied,reputation
Dress,reputation
End Game,reputation
Getaway Car,reputation
Gorgeous,reputation
I Did Something Bad,reputation
King Of My Heart,reputation
Look What You Made Me Do,reputation
New Year's Day,reputation
So It Goes...,reputation
This Is Why We Can't Have Nice Things,reputation
Don't Blame Me,reputation
...Ready for It?,reputation
Christmases When You Were Mine,The Taylor Swift Holiday Collection - EP
Last Christmas,The Taylor Swift Holiday Collection - EP
Silent Night,The Taylor Swift Holiday Collection - EP
White Christmas,The Taylor Swift Holiday Collection - EP
Christmas Must Be Something More,The Taylor Swift Holiday Collection - EP
Santa Baby,The Taylor Swift Holiday Collection - EP
Gasoline (Remix),Women in Music Pt. III (Expanded Edition)
Highway Don't Care,Two Lanes of Freedom (Accelerated Deluxe)
Hits Different,Midnights (Target Exclusive)
I Don't Wanna Live Forever,Fifty Shades Darker (Original Motion Picture Soundtrack)
I Heart ?,Taylor Swift (Best Buy Exclusive)
Picture To Burn (Radio Edit),Beautiful Eyes - EP
Beautiful Eyes,Beautiful Eyes - EP
Renegade,How Long Do You Think It's Gonna Last?
Safe & Sound,The Hunger Games: Songs from District 12 and Beyond
Sweeter Than Fiction,One Chance (Original Motion Picture Soundtrack)
Wildest Dreams ,1989
This Love ,1989
Two Is Better Than One,Love Drunk
Crazier,Hannah Montana: The Movie
Carolina,Carolina (From The Motion Picture 'Where The Crawdads Sing') - Single
Christmas Tree Farm,Christmas Tree Farm
Delicate,reputation
Eyes Open,The Hunger Games: Songs from District 12 and Beyond
right where you left me,evermore
it's time to go,evermore
You're Losing Me (From The Vault),Midnights
All Of The Girls You Loved Before,Lover
august,folklore
betty,folklore
cardigan,folklore
epiphany,folklore
exile,folklore
hoax,folklore
illicit affairs,folklore
invisible string,folklore
mad woman,folklore
mirrorball,folklore
my tears ricochet,folklore
peace,folklore
seven,folklore
the 1,folklore
the last great american dynasty,folklore
this is me trying,folklore
Back To December ,Speak Now 
Better Than Revenge ,Speak Now 
Castles Crumbling  [From The Vault],Speak Now 
Dear John ,Speak Now 
Electric Touch  [From The Vault],Speak Now 
Enchanted ,Speak Now 
Foolish One  [From The Vault],Speak Now 
Haunted ,Speak Now 
I Can See You  [From The Vault],Speak Now 
Innocent ,Speak Now 
Last Kiss ,Speak Now 
